"nhits","uid","acqres","clinsub","comp_rt","cscal","dx_ageA0","eta","g","infclr","infnon","infsub","kA0","mort_nutmoderate","muDc","muDn","nonrec","nonsub","p","prog_ageA0","prog_nutmild","prog_nutmoderate","prog_nutover","relfit","relnon_r","relnon_s","relsub_r","relsub_s","subclin","subnon","succ_strs","t","unsucc_nutmoderate"
18,"80b040a535cca6a0fd59279db25f9d74",0.008104972,0.713544272,1.504847273,2.13965194,0.359931385,0.762073841,3.483135595,1.325489302,0.100105444,0.011318217,0.453637398,2.365824742,0.082430272,0.00769832,0.152458066,0.210876243,0.293534935,0.896447804,1.464999067,1.836826664,0.653168744,0.859435939,0.039757364,0.003505166,0.031154744,0.007495633,0.933681495,2.006075577,0.449328955,0.875394575,1.116058523
18,"6a66327f5ab49fefb0d75f8ae14b4e02",0.011719375,0.713159489,1.508487663,1.877325695,0.343248841,0.803121754,3.310375559,1.12629009,0.099920091,0.010658307,0.502574578,2.024901168,0.088014885,0.00711183,0.15018573,0.212635665,0.291626344,0.894009797,1.468427962,1.824854416,0.654358929,0.850374899,0.044004229,1.35e-05,0.024867433,0.005929863,0.928871061,1.975654448,0.443676809,0.851606373,1.135089891
18,"3bbde40e033ee2f75cf696d73bdbcf6e",0.011786761,0.70825634,1.482981868,1.786319314,0.331232663,0.862798912,3.369051594,1.076972595,0.104815187,0.011273814,0.503515945,2.101003723,0.081954156,0.012002028,0.147408533,0.211055942,0.291668432,0.881915994,1.465554813,1.818439882,0.647185095,0.832217722,0.045583286,4.06e-05,0.024151763,0.005980318,0.931237235,1.977916029,0.437114267,0.851982055,1.16075225
18,"db23eba8167e4f26e9c4fd2ed7f128bc",0.00308253,0.710107272,1.517461325,2.068053509,0.3587906,0.77442057,3.491080354,1.297288163,0.097925224,0.010361912,0.46572599,2.459686672,0.083939924,0.00507224,0.149048314,0.221579401,0.288675333,0.889484427,1.463512557,1.832664428,0.659150814,0.8698352,0.042954827,0.004231743,0.029505798,0.009052816,0.931572093,2.004315134,0.450113583,0.888299531,1.125188689
18,"d6af516ffc7357d4a43a7d8d5a0d451a",0.008952683,0.716486178,1.507662779,2.153552591,0.36013101,0.760744025,3.480496251,1.331430925,0.09707037,0.010962964,0.450111844,2.346654763,0.081294596,0.007303785,0.1497006,0.213924915,0.294241891,0.897240233,1.468989619,1.83702672,0.653674121,0.856993317,0.042901467,0.000296346,0.02818145,0.007737225,0.936525893,2.008003493,0.456236024,0.878083818,1.113998535
18,"6594642938b9875c1f92fc6ddbad86c7",0.011868223,0.719098201,1.483087693,2.160010378,0.353031316,0.749913518,3.455165464,1.27737478,0.096535061,0.010927272,0.432455968,2.233428355,0.086699123,0.007342186,0.151222832,0.210337331,0.298558271,0.896157399,1.463203267,1.830724947,0.655970919,0.848367963,0.042986349,0.000741211,0.029621951,0.006504749,0.934321548,2.011536674,0.458537961,0.860513923,1.120369316
18,"2288fa5c4105189cc0ee1531092ba17c",0.011705102,0.713664043,1.492392272,2.281210914,0.365301207,0.750820812,3.46479126,1.289270797,0.091373392,0.012910748,0.404954436,2.379446219,0.085266866,0.005277292,0.15418691,0.211237831,0.289223058,0.894669628,1.463881152,1.823252658,0.656912429,0.858912749,0.053551396,0.005161674,0.031845012,0.006611066,0.933580179,2.02859589,0.460073498,0.842611102,1.11933706
18,"171150e3524f7b6143e8f3a207a8e34f",0.011893407,0.719166302,1.508801054,2.110250106,0.351540573,0.764299489,3.370523294,1.260542873,0.096271521,0.010978109,0.472027764,2.153512749,0.088194161,0.007823379,0.151698457,0.211759541,0.292222257,0.901578336,1.465801772,1.831864962,0.658178318,0.861972923,0.041982603,8.49e-05,0.026898556,0.00625078,0.932317287,1.981373704,0.449192815,0.856764382,1.104124309
18,"c42754047eaee9c84dbe9bebca2e9f59",0.011791933,0.719494799,1.487087302,2.168085208,0.352707129,0.746596999,3.449961411,1.28303807,0.096994135,0.01037439,0.429934623,2.235759099,0.086336547,0.007493245,0.151651915,0.210697764,0.299040058,0.897059311,1.464193587,1.832548863,0.655789525,0.84814423,0.042239048,0.000972833,0.029598003,0.007048823,0.936008696,2.009507238,0.458857539,0.862068995,1.117503354
18,"980a0e53801116b9a0efd46da25757e9",0.011679074,0.719181549,1.483069514,2.156939145,0.353523058,0.751875325,3.457401825,1.273398862,0.096832064,0.010884658,0.432751039,2.232507216,0.086657754,0.006822657,0.151592113,0.210405236,0.298369987,0.895952442,1.462322617,1.830081836,0.655424163,0.848320189,0.042609026,0.0008722,0.029701228,0.006721587,0.933992236,2.012571859,0.458621538,0.860626472,1.122470728
